TOKEN	AVERAGE_ATTENTION	REP_POS	DIST_POS	N_OCCURRENCES_TEST	TRUEPOS	FALSEPOS	TRUENEG	FALSENEG
madame	0.029488	0.003966	-0.044794	44	12	6	24	2
merci	0.029398	0.014948	-0.144272	219	34	39	129	17
mouvement	0.029392	0.015253	-0.193920	308	31	42	211	24
film	0.029287	0.002746	-0.260958	65	6	17	39	3
bande	0.029120	0.004576	0.394740	27	13	4	7	3
débat	0.029009	0.012813	0.177636	110	35	16	47	12
heureusement	0.028975	0.002746	0.105866	22	7	10	3	2
!	0.028952	0.157108	0.029897	2131	579	435	936	181
incroyable	0.028951	0.002135	-0.008766	24	6	7	9	2
dénonciation	0.028948	0.003051	0.092110	29	5	3	16	5
direct	0.028776	0.000610	-0.447361	53	1	4	47	1
quotidien	0.028708	0.002746	-0.124054	41	6	6	25	4
facile	0.028606	0.004271	0.271446	30	15	8	6	1
angela	0.028580	0.005796	-0.435447	439	4	9	411	15
cuisine	0.028534	0.006101	0.650812	30	24	4	2	0
engagement	0.028516	0.000000	-0.513150	22	0	1	21	0
signé	0.028468	0.002135	-0.105763	27	5	0	19	3
petit	0.028445	0.009152	0.185227	70	24	14	23	9
été	0.028350	0.029286	0.129604	241	85	45	93	18
n'a	0.028171	0.017999	0.098329	156	49	37	54	16
communication	0.028026	0.002746	0.135343	22	5	2	10	5
avons	0.028026	0.001525	-0.260958	33	1	8	20	4
font	0.027912	0.012813	0.261878	88	36	26	18	8
excellent	0.027869	0.000915	-0.338555	28	2	4	21	1
réseau	0.027862	0.002441	0.123966	21	10	5	6	0
porte	0.027685	0.007932	0.101567	68	20	20	20	8
catherine	0.027530	0.013728	-0.217099	303	33	42	206	22
coeur	0.027523	0.002746	0.010633	28	7	5	13	3
propose	0.027508	0.001830	-0.220282	33	6	7	19	1
sandra	0.027463	0.000915	-0.450965	109	1	0	106	2
regard	0.027365	0.003661	0.351507	22	7	1	9	5
tué	0.027239	0.001830	0.020903	20	4	9	4	3
découvrez	0.027187	0.000305	-0.447361	23	0	3	19	1
sera	0.027129	0.006711	-0.121511	92	16	14	53	9
a	0.027121	0.152227	0.021597	1698	453	350	761	134
article	0.027052	0.004576	-0.174385	67	10	11	41	5
ligne	0.027038	0.002746	-0.059205	32	7	6	17	2
plaintes	0.027004	0.001525	-0.152876	23	3	5	12	3
darmanin	0.026953	0.014948	0.131584	146	51	35	51	9
aider	0.026920	0.001525	-0.092830	20	4	4	11	1
quelques	0.026909	0.004881	-0.056350	53	11	7	30	5
leurs	0.026899	0.010982	0.060254	99	29	28	34	8
forte	0.026895	0.001830	-0.059205	20	3	2	12	3
respect	0.026856	0.007932	0.258260	53	20	13	12	8
gars	0.026843	0.007932	0.470398	45	27	13	3	2
vraie	0.026758	0.002441	-0.064809	27	6	13	6	2
