TOKEN	AVERAGE_ATTENTION	REP_POS	DIST_POS	N_OCCURRENCES_TEST	TRUEPOS	FALSEPOS	TRUENEG	FALSENEG
"?	0.006525	0.001525	-0.092830	35	1	9	21	4
besoin	0.006515	0.007932	0.273688	53	22	10	16	5
enfin	0.006489	0.009762	0.280634	65	20	6	27	12
cours	0.006465	0.006406	0.345665	39	16	5	12	6
??	0.006439	0.005186	0.515792	33	20	7	5	1
tombe	0.006433	0.003356	0.279453	21	10	3	7	1
faire	0.006432	0.078401	0.337790	489	243	111	101	34
pris	0.006424	0.005186	0.046058	46	15	9	20	2
réforme	0.006424	0.000610	-0.405068	34	1	0	32	1
sens	0.006415	0.005186	0.085072	44	16	13	14	1
bar	0.006391	0.005796	0.924343	23	22	1	0	0
assez	0.006391	0.003966	0.033265	41	8	7	17	9
noël	0.006358	0.003051	0.283245	23	5	2	9	7
vivre	0.006347	0.001830	-0.163961	26	4	8	12	2
responsable	0.006313	0.001525	-0.114952	20	4	3	12	1
tour	0.006308	0.002135	-0.254807	49	3	5	37	4
défendre	0.006295	0.004881	0.123966	44	15	13	13	3
ok	0.006294	0.005186	0.344302	31	13	8	5	5
second	0.006283	0.001830	0.092110	20	4	6	6	4
côté	0.006219	0.008847	0.218206	62	23	19	13	7
sous	0.006183	0.012203	0.017780	143	37	17	83	6
brisé	0.006167	0.000000	-0.513150	29	0	1	28	0
voir	0.006142	0.018914	0.171633	141	50	37	40	14
c'est	0.006135	0.181208	0.226612	1425	581	349	366	129
ordinaire	0.006130	0.007322	0.276320	56	23	8	18	7
journaliste	0.006007	0.007627	-0.114952	107	22	10	69	6
condition	0.005983	0.002441	0.037087	22	8	5	9	0
laisser	0.005894	0.004271	0.369521	25	13	8	3	1
sûr	0.005865	0.006406	0.301623	41	21	10	8	2
histoire	0.005835	0.003356	0.023774	34	11	6	15	2
comportement	0.005827	0.006711	0.437973	39	20	7	9	3
/	0.005812	0.035082	0.119622	369	111	65	163	30
vous	0.005811	0.088469	0.144741	895	308	206	288	93
.<	0.005803	0.005186	-0.091452	66	14	10	36	6
etc	0.005795	0.008237	0.096627	77	25	21	26	5
ex	0.005754	0.007627	0.214326	55	23	12	16	4
numéro	0.005739	0.001220	-0.157114	23	5	6	10	2
une	0.005729	0.257474	0.118140	2482	830	500	938	214
eux	0.005667	0.004576	0.196139	33	12	10	7	4
comment	0.005643	0.019524	-0.006126	222	47	37	118	20
mettre	0.005629	0.011592	0.073582	104	31	23	43	7
jours	0.005612	0.009152	0.154416	72	20	16	26	10
bien	0.005600	0.062538	0.241584	438	175	97	121	45
moi	0.005596	0.041184	0.269514	293	116	83	68	26
dites	0.005556	0.006101	0.607702	27	18	5	2	2
soutien	0.005517	0.007627	-0.062807	94	17	18	51	8
emmanuel	0.005503	0.000610	-0.474351	99	0	2	95	2
juste	0.005501	0.022880	0.366589	136	66	34	25	11
l'assemblée	0.005489	0.002135	0.109912	20	3	4	7	6
donald	0.005483	0.001830	-0.291713	53	4	3	44	2
lutte	0.005450	0.003356	-0.199100	62	9	11	38	4
dernier	0.005446	0.002135	-0.272421	45	4	11	27	3
sont	0.005438	0.063758	0.158290	544	192	108	200	44
prof	0.005401	0.003356	0.279453	24	12	3	8	1
donner	0.005397	0.006101	0.068831	53	18	11	22	2
celle	0.005396	0.007322	0.147134	56	20	15	17	4
présidente	0.005326	0.002135	-0.266823	46	3	8	30	5
passage	0.005299	0.003661	0.243425	27	13	1	12	1
première	0.005297	0.004271	-0.343677	144	11	13	117	3
mars	0.005288	0.001525	-0.302990	38	2	1	32	3
moyens	0.005280	0.001220	-0.224931	21	2	5	12	2
enceinte	0.005277	0.022270	-0.089932	306	66	50	174	16
prend	0.005238	0.003051	-0.125163	46	7	7	29	3
?	0.005229	0.165650	0.168709	1801	612	387	628	174
lutter	0.005225	0.003661	-0.260958	81	5	10	58	8
là	0.005211	0.025320	0.173142	193	64	54	51	24
compris	0.005184	0.006711	0.319083	40	19	7	11	3
ras	0.005167	0.000610	-0.280357	21	2	2	17	0
sinon	0.005161	0.005796	0.224026	39	16	11	9	3
auprès	0.005159	0.000915	-0.246123	20	2	1	16	1
veux	0.005150	0.012813	0.449764	77	45	17	11	4
côtés	0.005146	0.000915	-0.286177	23	2	1	19	1
m'a	0.005082	0.010982	0.312205	73	32	12	22	7
ou	0.005070	0.067114	0.212107	520	214	143	121	42
?"	0.005066	0.010982	0.151160	93	35	17	38	3
finale	0.005032	0.000610	-0.387054	25	1	2	21	1
preuve	0.005001	0.006101	0.327489	38	12	8	8	10
soit	0.004975	0.010982	0.176387	91	33	25	27	6
accusations	0.004882	0.002746	-0.087576	37	7	9	18	3
y'a	0.004875	0.007932	0.342109	47	22	15	5	5
n'y	0.004875	0.011592	0.105127	98	33	28	30	7
différence	0.004851	0.005186	0.182081	42	16	17	8	1
puis	0.004822	0.006711	0.243425	58	24	8	23	3
février	0.004814	0.001220	-0.249993	25	1	1	20	3
être	0.004793	0.044844	0.192987	348	140	72	109	27
ramadan	0.004785	0.002441	-0.109643	47	8	7	27	5
devenir	0.004785	0.002441	0.092110	23	10	2	11	0
ses	0.004779	0.032337	0.099041	293	91	56	118	28
prise	0.004745	0.003051	0.047276	28	8	6	12	2
savoir	0.004737	0.005491	0.151160	44	17	13	12	2
mon	0.004734	0.040268	0.159361	324	117	80	99	28
simone	0.004734	0.001830	-0.080821	24	4	4	13	3
tu	0.004727	0.059793	0.361710	461	234	149	54	24
affaire	0.004691	0.005186	-0.061859	63	14	10	35	4
twitter	0.004682	0.008542	0.148853	69	16	13	26	14
avril	0.004674	0.000305	-0.437492	26	1	1	24	0
perdu	0.004602	0.002746	0.135343	21	6	6	6	3
fini	0.004599	0.003661	0.092110	34	8	9	12	5
libéré	0.004588	0.000305	-0.452624	25	1	1	23	0
vendredi	0.004547	0.000305	-0.447361	27	1	0	26	0
ainsi	0.004527	0.003356	0.103319	29	8	10	8	3
midi	0.004518	0.001220	-0.194592	20	4	1	15	0
sort	0.004491	0.003966	0.243425	28	12	5	10	1
retour	0.004460	0.003966	-0.155496	57	11	9	35	2
passé	0.004436	0.002441	-0.080821	29	7	13	8	1
seule	0.004427	0.008542	0.271446	58	22	11	17	8
réagir	0.004412	0.000915	-0.274231	20	3	3	14	0
enquête	0.004407	0.002746	-0.240783	58	3	11	37	7
la	0.004365	0.408786	-0.010890	6049	1449	1103	3013	484
h	0.004359	0.002746	-0.008766	29	8	2	18	1
tant	0.004358	0.010067	0.279453	68	30	15	16	7
michel	0.004353	0.000915	-0.296985	24	2	2	19	1
s'est	0.004336	0.006711	-0.063294	75	14	17	36	8
réalité	0.004324	0.003966	0.142549	31	10	6	12	3
avec	0.004287	0.084808	-0.052914	1014	222	176	537	79
pourtant	0.004276	0.004576	0.084146	39	10	8	16	5
2017	0.004264	0.003661	-0.090875	47	5	7	28	7
sert	0.004249	0.002135	0.044327	20	6	8	5	1
année	0.004216	0.003051	-0.054619	34	6	9	15	4
envie	0.004212	0.006711	0.465947	36	19	6	7	4
'	0.004207	0.002441	0.418019	24	14	4	4	2
rt	0.004205	0.004271	-0.171471	65	6	6	42	11
quel	0.004199	0.011287	0.137857	88	32	14	37	5
préfère	0.004199	0.003661	0.159361	29	9	7	9	4
..	0.004197	0.019219	0.101872	234	89	40	94	11
anti	0.004176	0.006101	-0.040290	83	12	26	34	11
<username>	0.004164	0.328249	-0.045962	7282	1478	1338	3894	572
demandé	0.004158	0.002746	0.105866	23	8	6	8	1
surprise	0.004058	0.002441	0.063288	23	10	4	9	0
autour	0.004046	0.003356	-0.107183	43	6	7	23	7
main	0.004044	0.009457	0.552933	50	26	7	11	6
parler	0.004032	0.016473	0.209948	129	50	31	41	7
vois	0.004027	0.005186	0.146428	41	13	14	10	4
nouvelle	0.004020	0.008847	-0.060765	102	20	12	60	10
temps	0.003982	0.015863	-0.039151	181	45	37	88	11
mieux	0.003967	0.007627	-0.073281	99	21	23	47	8
possible	0.003966	0.004271	0.092110	36	9	8	14	5
sur	0.003953	0.140024	-0.029490	1683	375	279	884	145
nature	0.003895	0.008847	0.612013	41	27	9	3	2
rdv	0.003894	0.001830	-0.229434	32	5	0	26	1
force	0.003866	0.003661	-0.035313	39	11	9	18	1
retrouver	0.003862	0.002746	0.078952	23	8	4	10	1
et	0.003840	0.340757	0.012897	4263	1078	821	2005	359
dernière	0.003823	0.003051	0.174646	22	4	3	9	6
décidé	0.003815	0.001830	-0.035313	20	5	5	9	1
???	0.003799	0.005186	0.129939	52	19	18	12	3
quoi	0.003756	0.026236	0.315709	166	77	43	33	13
st	0.003657	0.001525	-0.114952	20	5	3	11	1
ton	0.003624	0.029896	0.279838	206	89	45	60	12
fils	0.003620	0.003356	0.279453	25	10	7	6	2
aller	0.003588	0.002441	-0.122659	34	9	8	17	0
soirée	0.003582	0.003356	0.006996	34	8	6	17	3
jour	0.003542	0.010677	0.027261	107	23	21	50	13
jeremstar	0.003532	0.003661	0.697370	21	16	2	2	1
etre	0.003500	0.003661	0.351507	21	10	6	3	2
suis	0.003479	0.036608	0.121738	329	115	89	98	27
sa	0.003469	0.058572	0.083410	570	181	124	216	49
vais	0.003453	0.006711	0.114950	56	17	15	18	6
ni	0.003428	0.006101	0.008626	93	28	25	36	4
me	0.003426	0.064063	0.336480	436	219	107	78	32
":	0.003413	0.002746	-0.145086	44	9	8	26	1
absolument	0.003403	0.003966	0.342109	23	11	4	6	2
directrice	0.003391	0.000305	-0.437492	22	1	2	19	0
transformation	0.003373	0.001525	0.117329	20	10	5	5	0
question	0.003360	0.010372	0.106695	89	25	12	44	8
fois	0.003348	0.017999	0.133777	149	51	30	60	8
disant	0.003326	0.003356	0.362884	20	10	7	2	1
t'as	0.003317	0.013423	0.654896	60	40	6	8	6
courage	0.003307	0.003356	-0.268375	70	8	13	46	3
toute	0.003304	0.014643	0.107630	120	33	22	50	15
rien	0.003295	0.034167	0.293863	231	100	62	48	21
coup	0.003281	0.008237	-0.032502	91	22	16	48	5
je	0.003280	0.160769	0.183296	1531	578	389	446	118
faite	0.003264	0.006406	0.345665	37	16	9	7	5
te	0.003252	0.037523	0.581659	195	131	43	11	10
traiter	0.003243	0.005491	0.337997	32	14	7	7	4
juridique	0.003211	0.001830	0.054281	22	3	0	16	3
l'a	0.003193	0.006101	0.207398	43	14	6	17	6
bas	0.003152	0.002746	0.078952	23	7	4	10	2
nicolas	0.003145	0.001220	-0.194592	21	1	0	17	3
conscience	0.003144	0.003966	0.380984	22	9	5	4	4
jusqu'à	0.003127	0.004576	0.359821	26	12	2	9	3
tiens	0.003077	0.002441	-0.047565	28	6	11	7	4
bilan	0.003072	0.000305	-0.424141	21	0	5	15	1
p	0.003032	0.002135	-0.008766	24	3	6	11	4
balancer	0.003022	0.004271	0.243425	35	12	10	11	2
>:	0.003016	0.005186	0.439574	27	16	5	5	1
dur	0.002998	0.002135	0.044327	22	6	5	10	1
table	0.002996	0.001525	-0.222159	26	3	3	18	2
sortie	0.002943	0.003051	-0.054619	33	10	2	21	0
pr	0.002938	0.009762	0.336338	69	32	10	22	5
haas	0.002927	0.001525	-0.068106	22	4	7	10	1
extraordinaire	0.002885	0.000610	-0.345022	24	2	1	21	0
"	0.002875	0.270592	0.063134	5254	1464	935	2472	383
venir	0.002825	0.003661	0.159361	29	11	7	10	1
mal	0.002805	0.013118	0.194083	104	36	31	27	10
nuit	0.002777	0.005491	0.167768	42	15	4	19	4
l'origine	0.002766	0.001220	-0.353871	54	1	2	48	3
championne	0.002758	0.000305	-0.405068	20	1	2	17	0
jsuis	0.002754	0.001525	-0.184204	23	2	6	12	3
tomber	0.002727	0.003051	0.092110	25	7	8	7	3
rendez	0.002720	0.000915	-0.371292	34	3	1	30	0
seront	0.002718	0.001525	-0.134862	20	4	6	9	1
vice	0.002709	0.001830	-0.008766	21	4	3	12	2
regarde	0.002665	0.003051	0.283245	20	9	2	8	1
prison	0.002662	0.003661	-0.109643	50	10	11	26	3
s'il	0.002661	0.006101	0.283245	39	15	8	11	5
j'avais	0.002654	0.007322	0.227985	49	20	11	14	4
changer	0.002599	0.004576	0.084146	41	11	7	18	5
tête	0.002581	0.006406	-0.000631	67	11	14	32	10
belle	0.002551	0.011897	0.181119	90	32	19	31	8
folle	0.002539	0.002441	0.159361	21	10	5	6	0
mes	0.002521	0.010372	0.191605	79	28	10	33	8
dis	0.002517	0.012203	0.224972	100	36	22	37	5
fou	0.002515	0.004271	0.217336	30	10	10	5	5
mêmes	0.002489	0.006101	0.403911	34	16	8	6	4
train	0.002474	0.005186	0.163786	40	15	8	14	3
malgré	0.002436	0.002441	0.037087	23	7	4	11	1
s	0.002389	0.008542	0.003536	87	24	16	42	5
toi	0.002382	0.019219	0.386175	118	61	30	16	11
jugée	0.002319	0.001830	0.020903	22	7	7	8	0
claude	0.002316	0.000915	-0.286177	21	2	3	15	1
merde	0.002308	0.007932	0.323912	52	27	11	11	3
françois	0.002295	0.002441	-0.185982	39	5	3	28	3
vs	0.002281	0.005796	0.332434	36	19	2	13	2
tweets	0.002260	0.002441	-0.008766	25	7	3	14	1
vie	0.002256	0.018304	0.144741	151	52	33	54	12
lui	0.002244	0.034167	0.195941	272	118	77	61	16
endossez	0.002243	0.000000	-0.513150	21	0	0	21	0
bon	0.002240	0.019524	0.053175	183	54	41	73	15
f	0.002240	0.004271	0.109912	35	12	5	16	2
faits	0.002211	0.002135	-0.089468	30	4	10	12	4
discussion	0.002152	0.001525	-0.114952	20	3	4	11	2
quelqu'un	0.002151	0.004271	0.192987	31	11	11	6	3
relations	0.002146	0.000915	-0.286177	21	1	4	14	2
pleine	0.002145	0.003356	0.279453	22	9	2	8	3
?!	0.002135	0.004271	0.546055	26	15	5	3	3
prendre	0.002125	0.006711	-0.037588	70	14	22	26	8
nécessaire	0.002068	0.002135	0.016453	24	8	4	11	1
yeux	0.002047	0.006711	0.114950	64	24	23	17	0
salle	0.002026	0.002746	0.105866	25	7	1	15	2
pensez	0.002008	0.001220	-0.238032	23	3	12	7	1
avant	0.001988	0.011287	-0.030507	123	32	24	60	7
santé	0.001960	0.001525	-0.242944	31	3	3	23	2
génération	0.001934	0.001220	-0.194592	23	3	4	15	1
étaient	0.001928	0.002746	0.054281	24	7	5	10	2
choix	0.001854	0.003051	-0.025037	34	7	5	19	3
chambre	0.001781	0.002746	0.105866	25	8	3	13	1
mineur	0.001757	0.003966	0.798247	25	23	2	0	0
poutine	0.001744	0.000305	-0.412273	20	0	1	17	2
membres	0.001743	0.001220	-0.224931	21	2	3	14	2
tariq	0.001712	0.002135	-0.071814	33	4	3	23	3
meilleur	0.001680	0.003051	0.027261	31	7	9	12	3
nadine	0.001675	0.001220	-0.260958	29	2	5	20	2
s'en	0.001675	0.008847	0.183380	68	25	14	23	6
arme	0.001628	0.001830	-0.100472	29	3	7	16	3
mauvais	0.001563	0.002746	0.167768	21	6	3	9	3
allez	0.001557	0.007932	-0.090119	95	22	6	62	5
s'agit	0.001528	0.005186	0.316642	30	15	7	7	1
page	0.001496	0.001830	-0.100472	23	2	2	15	4
heures	0.001467	0.001830	-0.059205	24	4	3	15	2
passer	0.001304	0.006101	0.104462	50	12	10	20	8
anne	0.001290	0.001830	-0.134862	34	6	4	21	3
semaine	0.001280	0.002135	-0.296985	54	3	8	39	4
gérald	0.001274	0.005186	-0.045449	70	20	20	29	1
violer	0.001231	0.005796	0.513630	28	18	5	4	1
ayant	0.001231	0.002135	-0.134862	32	7	6	17	2
témoignages	0.001212	0.003661	-0.047565	42	5	5	23	9
sortir	0.001184	0.013118	0.608668	59	43	3	13	0
combien	0.001156	0.002746	0.135343	22	8	6	7	1
disent	0.001055	0.003966	0.048877	39	12	11	15	1
arrêtez	0.001039	0.002746	0.203605	20	9	5	5	1
simplement	0.001039	0.002441	0.037087	25	6	9	8	2
prochaine	0.000995	0.002135	-0.008766	21	2	6	8	5
faites	0.000985	0.008237	0.078952	78	24	12	38	4
vite	0.000974	0.001830	-0.059205	21	3	2	13	3
arrêter	0.000893	0.003356	0.279453	24	10	4	9	1
dois	0.000883	0.002746	0.167768	20	7	5	6	2
victoire	0.000738	0.000305	-0.441095	23	1	2	20	0
demander	0.000737	0.002135	0.044327	20	3	4	8	5
quelle	0.000581	0.012813	0.243425	87	39	20	24	4
parfaite	0.000574	0.001830	-0.100472	23	6	9	7	1
votre	0.000554	0.021660	0.118813	188	64	42	66	16
françoise	0.000406	0.003051	0.243425	22	10	0	12	0
vos	0.000245	0.013118	0.234729	97	39	16	33	9
=	0.000237	0.008847	0.382388	62	33	14	11	4
